point,type,id
"[2565.2578125, 884.5, 1620.741943359375]",point,cd770571672cb966862e5dd6eea3e3116bb7010d
"[1706.841064453125, 1056.96533203125, 1661.4998779296875]",point,1288b727e27ea16606a97f4fd03f0ddca2941fde
